hour_index,hour_of_day,solar_kwh_per_mw,dc_ac_ratio,wind_kwh_per_wtg,location_name,latitude,longitude
331,19,0.0,1.4,1353.5532241422568,Jodhpur,26.2389,73.0243
332,20,0.0,1.4,1704.0348284558827,Jodhpur,26.2389,73.0243
333,21,0.0,1.4,2109.177856956936,Jodhpur,26.2389,73.0243
334,22,0.0,1.4,1744.705097617284,Jodhpur,26.2389,73.0243
335,23,0.0,1.4,768.328567073358,Jodhpur,26.2389,73.0243
336,0,0.0,1.4,327.7115576951273,Jodhpur,26.2389,73.0243
337,1,0.0,1.4,385.92069884476246,Jodhpur,26.2389,73.0243
338,2,0.0,1.4,752.6753533825425,Jodhpur,26.2389,73.0243
339,3,0.0,1.4,1350.5142811563178,Jodhpur,26.2389,73.0243
340,4,0.0,1.4,216.6383018481914,Jodhpur,26.2389,73.0243
341,5,0.0,1.4,225.3053587023332,Jodhpur,26.2389,73.0243
342,6,0.0,1.4,90.99414666653196,Jodhpur,26.2389,73.0243
343,7,126.92,1.4,204.7743665096973,Jodhpur,26.2389,73.0243
344,8,211.61,1.4,347.02279031467145,Jodhpur,26.2389,73.0243
345,9,169.61,1.4,442.30313730664426,Jodhpur,26.2389,73.0243
346,10,321.1,1.4,481.2826789252416,Jodhpur,26.2389,73.0243
347,11,655.39,1.4,525.5304672187744,Jodhpur,26.2389,73.0243
348,12,968.82,1.4,305.02320956273286,Jodhpur,26.2389,73.0243
349,13,978.57,1.4,1203.4700773452334,Jodhpur,26.2389,73.0243
350,14,769.13,1.4,751.9102734807575,Jodhpur,26.2389,73.0243
351,15,758.64,1.4,826.6182365467326,Jodhpur,26.2389,73.0243
352,16,544.59,1.4,683.5648312126095,Jodhpur,26.2389,73.0243
353,17,171.73,1.4,400.0593270525146,Jodhpur,26.2389,73.0243
354,18,0.0,1.4,66.63295581046852,Jodhpur,26.2389,73.0243
355,19,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
356,20,0.0,1.4,306.8318661605749,Jodhpur,26.2389,73.0243
357,21,0.0,1.4,1208.2329814943248,Jodhpur,26.2389,73.0243
358,22,0.0,1.4,1419.6210951475643,Jodhpur,26.2389,73.0243
359,23,0.0,1.4,1340.960111433763,Jodhpur,26.2389,73.0243
360,0,0.0,1.4,1846.5245340749905,Jodhpur,26.2389,73.0243
361,1,0.0,1.4,1887.3320185376203,Jodhpur,26.2389,73.0243
362,2,0.0,1.4,1524.2888765648393,Jodhpur,26.2389,73.0243
363,3,0.0,1.4,1260.5557380246296,Jodhpur,26.2389,73.0243
364,4,0.0,1.4,437.09280977188246,Jodhpur,26.2389,73.0243
365,5,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
366,6,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
367,7,110.33,1.4,0.0,Jodhpur,26.2389,73.0243
368,8,442.25,1.4,0.0,Jodhpur,26.2389,73.0243
369,9,741.36,1.4,56.51100639213193,Jodhpur,26.2389,73.0243
